"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:59    ","00:06:18    ","1","0","0","00:06:18    ","00:06:17    ","00:05:27    ","84","87","94","150","163","30","65"
"2","00:06:04    ","00:06:04    ","1","0","0","00:06:04    ","00:06:03    ","00:05:49    ","86","88","97","168","177","29","84"
"3","00:06:01    ","00:06:01    ","1","0","0","00:06:01    ","00:06:04    ","00:05:48    ","86","88","96","168","175","27","84"
"4","00:06:01    ","00:06:01    ","1","0","0","00:06:01    ","00:06:03    ","00:05:48    ","86","88","97","168","174","26","86"
"5","00:06:07    ","00:06:07    ","1","0","0","00:06:07    ","00:06:08    ","00:05:59    ","86","89","95","167","176","26","98"
"6","00:05:56    ","00:05:56    ","1","0","0","00:05:57    ","00:06:00    ","00:05:40    ","87","88","96","170","175","25","72"
"7","00:06:01    ","00:06:01    ","1","0","0","00:06:01    ","00:06:02    ","00:05:50    ","86","88","96","169","172","25","99"
"8","00:05:57    ","00:05:57    ","1","0","0","00:05:57    ","00:06:00    ","00:05:41    ","87","89","96","170","176","25","72"
"9","00:05:30    ","00:05:30    ","1","0","0","00:05:30    ","00:05:32    ","00:05:15    ","88","91","102","178","184","25","92"
"10","00:04:40    ","00:04:40    ","1","0","0","00:04:40    ","00:04:58    ","00:02:30    ","91","2","110","182","191","25","78"
"11","00:00:08    ","00:00:08    ","0.03","0","0","00:04:19    ","00:02:28    ","00:02:28    ","95","127","154","188","189","25","0"
"Summary","00:59:28    ","00:58:47    ","10.03","9","17","00:05:52    ","00:05:54    ","00:02:28    ","87","130","98","168","191","26","830"
