"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:28    ","00:05:28    ","1","0","0","00:05:29    ","00:05:21    ","00:04:56    ","90","102","103","159","185","25","58"
"2","00:05:24    ","00:05:24    ","1","0","0","00:05:25    ","00:05:21    ","00:05:10    ","89","91","105","184","188","24","97"
"3","00:05:15    ","00:05:15    ","1","0","0","00:05:15    ","00:05:11    ","00:04:49    ","90","92","107","188","193","23","83"
"4","00:05:34    ","00:05:12    ","1","0","0","00:05:12    ","00:05:07    ","00:04:48    ","89","91","110","189","193","23","95"
"5","00:04:59    ","00:04:59    ","1","0","0","00:05:00    ","00:05:01    ","00:04:33    ","89","93","112","192","197","23","85"
"6","00:04:21    ","00:04:21    ","1","0","0","00:04:21    ","00:04:25    ","00:04:08    ","91","95","124","200","204","23","72"
"7","00:00:21    ","00:00:21    ","0.11","0","0","00:03:06    ","00:03:21    ","00:02:52    ","107","118","140","204","206","23","0"
"Summary","00:31:25    ","00:31:03    ","6.11","0","0","00:05:05    ","00:05:03    ","00:02:52    ","90","118","110","185","206","24","490"
