"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:17    ","00:06:17    ","1","0","0","00:06:17    ","00:06:00    ","00:05:14    ","87","91","95","125","169","21","55"
"2","00:06:22    ","00:06:22    ","1","0","0","00:06:22    ","00:06:15    ","00:06:01    ","87","89","92","164","169","18","82"
"3","00:06:02    ","00:06:02    ","1","0","0","00:06:02    ","00:06:01    ","00:05:52    ","87","89","95","168","171","17","84"
"4","00:06:14    ","00:06:14    ","1","0","0","00:06:14    ","00:06:08    ","00:05:55    ","86","89","94","166","172","16","84"
"5","00:06:13    ","00:06:13    ","1","0","0","00:06:13    ","00:06:08    ","00:05:51    ","87","89","94","166","171","15","97"
"6","00:06:09    ","00:06:09    ","1","0","0","00:06:10    ","00:06:04    ","00:05:50    ","86","88","95","167","172","15","84"
"7","00:06:10    ","00:06:10    ","1","0","0","00:06:11    ","00:06:04    ","00:05:56    ","86","87","96","170","178","15","86"
"8","00:06:01    ","00:06:01    ","1","0","0","00:06:01    ","00:06:05    ","00:05:54    ","86","88","95","170","178","16","87"
"9","00:06:01    ","00:06:01    ","1","0","0","00:06:02    ","00:05:55    ","00:05:41    ","87","89","97","173","181","16","88"
"10","00:04:39    ","00:04:39    ","1","0","0","00:04:40    ","00:04:58    ","00:02:37    ","91","125","110","178","183","16","76"
"11","00:00:05    ","00:00:05    ","0.03","0","0","00:03:44    ","00:02:33    ","00:02:32    ","109","117","151","184","185","16","0"
"Summary","01:00:18    ","01:00:18    ","10.03","0","0","00:06:01    ","00:05:58    ","00:02:32    ","87","125","96","164","185","17","826"
