"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:37    ","00:05:37    ","1","0","0","00:05:37    ","00:05:31    ","00:05:08    ","88","93","103","151","171","26","57"
"2","00:05:12    ","00:05:12    ","1","0","0","00:05:13    ","00:05:14    ","00:04:51    ","91","94","105","173","179","24","73"
"3","00:05:14    ","00:05:14    ","1","0","0","00:05:15    ","00:05:16    ","00:05:01    ","90","93","105","177","184","23","92"
"4","00:05:16    ","00:05:05    ","1","0","0","00:05:06    ","00:05:07    ","00:04:57    ","91","94","107","179","183","22","75"
"5","00:04:58    ","00:04:58    ","1","0","0","00:04:58    ","00:04:59    ","00:04:48    ","91","94","110","181","183","22","79"
"6","00:04:55    ","00:04:55    ","1","0","0","00:04:56    ","00:05:02    ","00:04:52    ","91","93","109","183","187","22","80"
"7","00:04:06    ","00:04:06    ","1","0","0","00:04:07    ","00:04:18    ","00:03:28    ","94","106","124","193","200","21","68"
"8","00:00:22    ","00:00:22    ","0.10","0","0","00:03:52    ","00:03:27    ","00:03:22    ","99","106","143","201","203","21","0"
"Summary","00:35:45    ","00:35:34    ","7.10","13","16","00:05:01    ","00:05:03    ","00:03:22    ","91","106","109","176","203","23","524"
