"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:36    ","00:06:36    ","1","0","0","00:06:36    ","00:06:32    ","00:05:41    ","87","90","88","143","165","25","68"
"2","00:06:22    ","00:06:22    ","1","0","0","00:06:22    ","00:06:17    ","00:06:04    ","87","89","91","164","169","23","82"
"3","00:06:34    ","00:06:34    ","1","0","0","00:06:34    ","00:06:26    ","00:06:15    ","87","88","90","165","169","21","96"
"4","00:06:10    ","00:06:10    ","1","0","0","00:06:11    ","00:06:05    ","00:05:56    ","87","89","94","168","171","20","85"
"5","00:06:28    ","00:06:14    ","1","0","0","00:06:15    ","00:06:00    ","00:05:37    ","87","90","96","169","179","21","85"
"6","00:05:15    ","00:05:15    ","1","0","0","00:05:15    ","00:05:18    ","00:02:34    ","90","120","104","172","199","22","72"
"Summary","00:37:28    ","00:37:14    ","6","0","0","00:06:12    ","00:06:06    ","00:02:34    ","87","120","94","163","199","22","488"
