"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:03    ","00:06:03    ","1","0","0","00:06:04    ","00:06:02    ","00:05:53    ","89","95","93","162","173","23","70"
"2","00:05:54    ","00:05:54    ","1","2","0","00:05:55    ","00:05:57    ","00:05:37    ","90","92","94","172","180","20","88"
"3","00:06:09    ","00:06:09    ","1","0","2","00:06:10    ","00:06:10    ","00:05:51    ","88","90","92","169","176","20","100"
"4","00:06:08    ","00:06:08    ","1","0","0","00:06:09    ","00:06:09    ","00:05:58    ","89","90","92","169","172","20","85"
"5","00:07:11    ","00:06:03    ","1","0","0","00:06:03    ","00:06:04    ","00:05:37    ","89","95","92","167","175","20","79"
"6","00:06:04    ","00:06:04    ","1","0","5","00:06:05    ","00:06:05    ","00:05:45    ","89","92","93","170","176","20","86"
"7","00:06:07    ","00:06:07    ","1","0","0","00:06:08    ","00:06:10    ","00:05:53    ","88","90","92","168","173","19","85"
"8","00:06:03    ","00:06:03    ","1","0","3","00:06:03    ","00:06:05    ","00:05:55    ","88","90","93","170","173","18","86"
"9","00:06:08    ","00:06:08    ","1","3","0","00:06:08    ","00:06:10    ","00:05:56    ","88","91","92","169","175","18","86"
"10","00:05:48    ","00:05:48    ","1","0","0","00:05:49    ","00:05:52    ","00:05:37    ","89","91","95","173","179","18","88"
"11","00:05:29    ","00:05:29    ","1","0","2","00:05:29    ","00:05:32    ","00:05:19    ","90","91","101","181","186","17","94"
"12","00:05:32    ","00:05:32    ","1","0","2","00:05:32    ","00:05:32    ","00:05:19    ","90","92","101","179","186","17","78"
"13","00:05:20    ","00:05:20    ","1","0","0","00:05:21    ","00:05:23    ","00:05:07    ","90","92","103","184","188","17","80"
"14","00:05:02    ","00:05:02    ","1","2","0","00:05:02    ","00:05:05    ","00:04:40    ","90","93","109","183","190","17","96"
"15","00:04:28    ","00:04:28    ","1","0","0","00:04:29    ","00:04:33    ","00:04:09    ","91","94","120","193","202","17","69"
"16","00:00:17    ","00:00:17    ","0.03","0","0","00:08:37    ","00:04:55    ","00:04:35    ","78","91","115","188","192","16","0"
"Summary","01:27:52    ","01:26:44    ","15.03","7","14","00:05:46    ","00:05:47    ","00:04:09    ","89","95","97","173","202","19","1272"
