"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:57    ","00:06:48    ","1","0","0","00:06:48    ","00:06:39    ","00:05:42    ","86","90","87","156","165","26","87"
"2","00:06:41    ","00:06:41    ","1","0","0","00:06:41    ","00:06:34    ","00:06:15    ","85","87","90","161","164","24","80"
"3","00:06:37    ","00:06:37    ","1","0","0","00:06:37    ","00:06:36    ","00:06:17    ","86","87","89","162","168","22","94"
"4","00:06:41    ","00:06:41    ","1","0","0","00:06:42    ","00:06:32    ","00:06:17    ","86","88","89","163","167","21","95"
"5","00:06:28    ","00:06:28    ","1","0","0","00:06:29    ","00:06:24    ","00:06:17    ","86","88","91","163","168","20","81"
"6","00:06:31    ","00:06:31    ","1","0","0","00:06:31    ","00:06:23    ","00:06:01    ","87","91","90","165","170","20","96"
"7","00:06:38    ","00:06:38    ","1","0","0","00:06:38    ","00:06:31    ","00:06:13    ","86","88","89","163","168","19","81"
"8","00:06:38    ","00:06:38    ","1","0","0","00:06:39    ","00:06:34    ","00:06:19    ","87","88","88","162","166","19","94"
"9","00:06:31    ","00:06:31    ","1","0","0","00:06:32    ","00:06:20    ","00:06:04    ","87","89","91","165","170","19","83"
"10","00:06:33    ","00:06:33    ","1","0","0","00:06:34    ","00:06:26    ","00:06:18    ","87","90","89","164","168","18","96"
"11","00:00:12    ","00:00:12    ","0.03","0","0","00:07:02    ","00:06:28    ","00:06:27    ","86","86","90","164","164","18","0"
"Summary","01:06:32    ","01:06:23    ","10.03","0","0","00:06:37    ","00:06:30    ","00:05:42    ","86","91","89","163","170","21","886"
