"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:19    ","00:05:49    ","1","0","0","00:05:49    ","00:05:51    ","00:05:05    ","89","94","96","164","175","27","69"
"2","00:05:49    ","00:05:49    ","1","0","0","00:05:49    ","00:05:51    ","00:05:31    ","89","91","96","172","180","25","88"
"3","00:05:37    ","00:05:37    ","1","0","0","00:05:38    ","00:05:39    ","00:05:28    ","90","92","98","177","181","26","76"
"4","00:05:56    ","00:05:56    ","1","2","2","00:05:56    ","00:05:50    ","00:05:28    ","89","92","96","173","181","26","89"
"5","00:05:55    ","00:05:55    ","1","0","0","00:05:55    ","00:05:55    ","00:05:36    ","89","91","95","172","177","25","88"
"6","00:06:01    ","00:06:01    ","1","0","0","00:06:02    ","00:06:01    ","00:05:38    ","89","92","94","170","179","25","86"
"7","00:05:48    ","00:05:48    ","1","0","0","00:05:49    ","00:05:51    ","00:05:33    ","89","91","96","172","179","25","88"
"8","00:05:47    ","00:05:47    ","1","3","0","00:05:48    ","00:05:48    ","00:05:33    ","89","91","97","174","178","24","90"
"9","00:05:52    ","00:05:52    ","1","0","0","00:05:52    ","00:05:54    ","00:05:33    ","89","93","95","172","179","24","87"
"10","00:05:28    ","00:05:28    ","1","0","2","00:05:29    ","00:05:39    ","00:04:55    ","90","97","98","176","184","23","75"
"11","00:00:17    ","00:00:17    ","0.03","0","0","00:08:14    ","00:04:29    ","00:04:11    ","93","98","117","176","183","23","0"
"Summary","00:58:53    ","00:58:23    ","10.03","5","4","00:05:49    ","00:05:49    ","00:04:11    ","89","98","96","172","184","25","837"
