"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:35    ","00:06:35    ","1","0","0","00:06:36    ","00:06:32    ","00:06:10    ","86","88","89","140","158","28","71"
"2","00:06:50    ","00:06:39    ","1","0","0","00:06:39    ","00:06:30    ","00:06:08    ","86","87","90","160","165","27","79"
"3","00:06:19    ","00:06:19    ","1","0","0","00:06:20    ","00:06:25    ","00:06:10    ","86","88","91","163","168","26","93"
"4","00:06:25    ","00:06:25    ","1","0","0","00:06:26    ","00:06:25    ","00:06:12    ","86","88","90","165","168","23","83"
"5","00:06:20    ","00:06:20    ","1","0","0","00:06:20    ","00:06:24    ","00:06:11    ","86","88","91","164","168","22","96"
"6","00:06:24    ","00:06:24    ","1","0","0","00:06:24    ","00:06:25    ","00:06:11    ","86","89","90","166","170","21","83"
"7","00:06:17    ","00:06:17    ","1","0","0","00:06:18    ","00:06:19    ","00:06:01    ","86","88","92","164","170","21","82"
"8","00:06:11    ","00:06:11    ","1","0","0","00:06:12    ","00:06:14    ","00:06:00    ","86","89","93","165","171","21","83"
"9","00:06:08    ","00:06:08    ","1","0","0","00:06:09    ","00:06:12    ","00:05:58    ","87","90","93","166","171","21","97"
"10","00:05:41    ","00:05:41    ","1","0","0","00:05:41    ","00:05:48    ","00:04:28    ","88","99","98","170","188","21","72"
"Summary","01:03:16    ","01:03:05    ","10","0","0","00:06:18    ","00:06:19    ","00:04:28    ","86","99","91","162","188","23","837"
