"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:06:16    ","00:06:16    ","1","0","0","00:06:16    ","00:06:19    ","00:06:04    ","86","92","92","147","163","28","65"
"2","00:06:22    ","00:06:05    ","1","0","0","00:06:05    ","00:06:07    ","00:05:16    ","87","89","94","161","167","26","66"
"3","00:06:00    ","00:06:00    ","1","0","2","00:06:00    ","00:06:01    ","00:05:50    ","87","88","96","166","171","22","83"
"4","00:06:01    ","00:06:01    ","1","0","0","00:06:01    ","00:06:02    ","00:05:53    ","86","88","96","166","174","21","83"
"5","00:05:58    ","00:05:58    ","1","0","0","00:05:58    ","00:06:00    ","00:05:38    ","86","89","96","168","178","21","85"
"6","00:05:53    ","00:05:53    ","1","0","2","00:05:54    ","00:05:54    ","00:05:39    ","87","89","97","170","176","20","86"
"7","00:06:00    ","00:06:00    ","1","0","0","00:06:01    ","00:06:03    ","00:05:50    ","86","88","96","167","174","20","84"
"8","00:05:50    ","00:05:50    ","1","0","0","00:05:51    ","00:05:53    ","00:05:40    ","87","90","98","171","178","19","87"
"9","00:05:49    ","00:05:49    ","1","0","0","00:05:50    ","00:05:50    ","00:05:33    ","87","89","98","170","174","19","86"
"10","00:04:56    ","00:04:56    ","1","2","0","00:04:56    ","00:05:18    ","00:03:02    ","90","116","104","173","183","19","73"
"11","00:00:09    ","00:00:09    ","0.04","0","0","00:04:14    ","00:02:59    ","00:02:59    ","100","113","142","180","180","19","0"
"Summary","00:59:19    ","00:59:02    ","10.04","2","4","00:05:53    ","00:05:56    ","00:02:59    ","87","116","97","166","183","22","799"
