"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:08    ","00:05:08    ","1","5","5","00:05:09    ","00:05:09    ","00:04:32    ","91","94","107","137","155","20","35"
"2","00:04:58    ","00:04:58    ","1","14","2","00:04:58    ","00:05:01    ","00:04:48    ","90","92","111","161","174","18","48"
"3","00:04:58    ","00:04:58    ","1","17","5","00:04:58    ","00:05:03    ","00:04:30    ","90","94","110","165","176","18","52"
"4","00:04:40    ","00:04:40    ","1","11","19","00:04:40    ","00:04:41    ","00:04:26    ","90","93","118","161","175","18","48"
"5","00:04:33    ","00:04:33    ","1","5","24","00:04:33    ","00:04:36    ","00:04:11    ","91","97","119","161","176","19","50"
"6","00:05:05    ","00:05:05    ","1","21","5","00:05:06    ","00:05:03    ","00:04:35    ","90","93","110","166","172","20","51"
"7","00:04:47    ","00:04:47    ","1","10","21","00:04:47    ","00:04:57    ","00:04:17    ","91","94","111","158","169","21","39"
"8","00:04:50    ","00:04:50    ","1","20","15","00:04:51    ","00:04:45    ","00:03:51    ","91","94","116","161","170","21","49"
"9","00:04:49    ","00:04:49    ","1","15","17","00:04:49    ","00:04:39    ","00:04:14    ","91","95","118","161","173","22","48"
"10","00:04:45    ","00:04:45    ","1","18","3","00:04:46    ","00:04:49    ","00:04:10    ","91","94","114","170","177","21","53"
"11","00:04:09    ","00:04:09    ","1","3","22","00:04:09    ","00:04:14    ","00:03:45    ","92","97","128","167","176","21","41"
"12","00:04:28    ","00:04:28    ","1","15","22","00:04:29    ","00:04:27    ","00:04:00    ","93","97","121","168","180","21","43"
"13","00:04:27    ","00:04:27    ","1","15","7","00:04:27    ","00:04:31    ","00:04:13    ","92","95","120","173","183","21","53"
"14","00:04:51    ","00:04:51    ","1","20","9","00:04:51    ","00:04:45    ","00:04:02    ","92","95","115","170","180","21","53"
"15","00:04:18    ","00:04:18    ","1","16","13","00:04:18    ","00:04:22    ","00:03:08    ","92","94","124","170","182","21","42"
"16","00:04:10    ","00:04:10    ","1","5","25","00:04:11    ","00:04:03    ","00:02:54    ","93","95","133","170","182","21","42"
"17","00:04:36    ","00:04:36    ","1","23","6","00:04:37    ","00:04:34    ","00:03:57    ","92","98","118","179","186","20","57"
"18","00:04:32    ","00:04:32    ","1","6","19","00:04:32    ","00:04:43    ","00:04:05    ","92","95","115","171","186","20","44"
"19","00:04:19    ","00:04:19    ","1","17","14","00:04:19    ","00:04:19    ","00:03:16    ","92","95","125","177","185","21","56"
"20","00:04:06    ","00:04:06    ","1","6","15","00:04:06    ","00:04:08    ","00:03:45    ","93","95","130","173","182","20","44"
"21","00:03:35    ","00:03:35    ","1","0","3","00:03:35    ","00:03:36    ","00:03:21    ","94","98","147","184","193","20","35"
"22","00:00:24    ","00:00:24    ","0.10","0","0","00:04:02    ","00:03:51    ","00:03:50    ","92","93","142","190","193","19","12"
"Summary","01:36:37    ","01:36:37    ","21.10","262","271","00:04:35    ","00:04:35    ","00:02:54    ","92","98","119","166","193","20","995"
