"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:04:54    ","00:04:54    ","1","17","4","00:04:55    ","00:05:00    ","00:03:56    ","89","91","112","166","173","25","52"
"2","00:04:53    ","00:04:53    ","1","15","8","00:04:53    ","00:04:58    ","00:04:32    ","90","92","112","168","175","25","52"
"3","00:04:46    ","00:04:46    ","1","16","14","00:04:46    ","00:04:47    ","00:04:28    ","90","92","116","163","173","25","50"
"4","00:04:37    ","00:04:37    ","1","4","23","00:04:37    ","00:04:39    ","00:04:16    ","90","94","119","166","174","25","41"
"5","00:04:50    ","00:04:50    ","1","23","3","00:04:51    ","00:04:51    ","00:04:32    ","90","92","115","172","176","25","54"
"6","00:04:38    ","00:04:38    ","1","5","21","00:04:39    ","00:04:46    ","00:04:18    ","90","92","116","164","175","25","51"
"7","00:04:39    ","00:04:39    ","1","19","18","00:04:39    ","00:04:38    ","00:04:17    ","90","92","120","168","175","25","42"
"8","00:04:38    ","00:04:38    ","1","19","11","00:04:39    ","00:04:43    ","00:04:18    ","90","92","118","168","173","25","52"
"9","00:04:45    ","00:04:45    ","1","20","13","00:04:46    ","00:04:47    ","00:04:17    ","90","92","116","171","177","26","54"
"10","00:04:35    ","00:04:35    ","1","5","18","00:04:35    ","00:04:34    ","00:04:23    ","90","92","122","165","173","26","40"
"11","00:04:32    ","00:04:32    ","1","10","21","00:04:32    ","00:04:34    ","00:04:21    ","91","94","120","169","179","26","53"
"12","00:04:35    ","00:04:35    ","1","18","4","00:04:35    ","00:04:42    ","00:04:23    ","91","93","118","171","176","26","43"
"13","00:04:29    ","00:04:29    ","1","13","15","00:04:30    ","00:04:35    ","00:04:06    ","91","92","120","172","180","26","54"
"14","00:04:14    ","00:04:14    ","1","16","9","00:04:14    ","00:04:13    ","00:03:53    ","91","95","130","177","187","26","44"
"15","00:04:11    ","00:04:11    ","1","3","21","00:04:11    ","00:04:22    ","00:03:08    ","91","95","126","172","184","26","45"
"16","00:04:04    ","00:04:04    ","1","0","3","00:04:04    ","00:04:07    ","00:03:52    ","90","93","135","182","188","26","46"
"17","00:04:14    ","00:04:14    ","1","5","2","00:04:15    ","00:04:18    ","00:04:09    ","90","91","129","180","186","27","58"
"18","00:04:15    ","00:04:15    ","1","3","3","00:04:16    ","00:04:18    ","00:04:11    ","90","92","129","173","179","27","44"
"19","00:00:27    ","00:00:27    ","0.10","0","0","00:04:44    ","00:04:17    ","00:04:16    ","90","91","129","174","175","27","0"
"Summary","01:22:25    ","01:22:25    ","18.10","211","211","00:04:33    ","00:04:36    ","00:03:08    ","90","95","120","170","188","26","874"
