"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:04:49    ","00:04:49    ","1","0","0","00:04:49    ","00:04:45    ","00:04:12    ","92","97","114","159","172","26","42"
"2","00:05:09    ","00:05:09    ","1","0","2","00:05:10    ","00:05:11    ","00:05:01    ","91","93","105","160","166","24","49"
"3","00:05:10    ","00:05:10    ","1","2","2","00:05:10    ","00:05:15    ","00:05:04    ","92","93","104","154","161","24","45"
"4","00:05:09    ","00:05:09    ","1","0","0","00:05:09    ","00:05:09    ","00:04:58    ","91","93","107","156","160","24","56"
"5","00:05:06    ","00:05:06    ","1","2","0","00:05:07    ","00:05:10    ","00:04:55    ","91","92","106","154","161","24","46"
"6","00:05:01    ","00:05:01    ","1","0","3","00:05:02    ","00:05:04    ","00:04:46    ","92","93","108","159","165","24","48"
"7","00:04:51    ","00:04:51    ","1","2","2","00:04:51    ","00:04:53    ","00:04:38    ","92","97","112","165","178","24","51"
"8","00:04:37    ","00:04:37    ","1","0","0","00:04:38    ","00:04:39    ","00:04:31    ","92","93","117","166","171","23","41"
"9","00:04:35    ","00:04:35    ","1","0","2","00:04:36    ","00:04:36    ","00:04:29    ","92","94","118","167","171","24","52"
"10","00:04:41    ","00:04:41    ","1","3","0","00:04:41    ","00:04:40    ","00:04:32    ","91","92","117","165","169","24","41"
"11","00:04:41    ","00:04:41    ","1","0","0","00:04:41    ","00:04:46    ","00:04:34    ","91","93","115","163","166","24","50"
"12","00:04:37    ","00:04:37    ","1","0","2","00:04:37    ","00:04:39    ","00:04:30    ","93","94","116","165","171","24","51"
"13","00:04:30    ","00:04:30    ","1","2","2","00:04:30    ","00:04:34    ","00:04:25    ","92","94","119","168","172","24","42"
"14","00:04:28    ","00:04:28    ","1","0","2","00:04:28    ","00:04:30    ","00:04:24    ","92","95","120","170","175","24","53"
"15","00:04:30    ","00:04:30    ","1","0","2","00:04:30    ","00:04:31    ","00:04:25    ","92","94","120","170","173","24","43"
"16","00:04:21    ","00:04:21    ","1","0","0","00:04:22    ","00:04:26    ","00:04:20    ","92","93","123","173","176","24","54"
"17","00:04:13    ","00:04:13    ","1","2","2","00:04:13    ","00:04:16    ","00:04:04    ","92","96","127","177","182","24","45"
"18","00:04:02    ","00:04:02    ","1","0","3","00:04:03    ","00:04:05    ","00:04:01    ","92","94","133","180","182","23","46"
"19","00:04:01    ","00:04:01    ","1","3","2","00:04:02    ","00:04:05    ","00:04:02    ","92","93","134","182","184","23","47"
"20","00:03:59    ","00:03:59    ","1","4","2","00:04:00    ","00:04:03    ","00:03:55    ","91","93","136","184","188","23","48"
"21","00:03:48    ","00:03:48    ","1","3","3","00:03:49    ","00:03:52    ","00:03:42    ","91","93","142","188","192","23","49"
"22","00:04:32    ","00:04:32    ","0.95","2","2","00:04:47    ","00:04:33    ","00:03:46    ","90","93","122","177","191","24","46"
"Summary","01:41:00    ","01:41:00    ","21.95","25","33","00:04:36    ","00:04:37    ","00:03:42    ","92","97","118","167","192","24","1045"
